#fasta1,fasta2,score,opening,extension
sequences/prot-0035.fa,sequences/prot-0071.fa,86.0,-4,-1
sequences/prot-0035.fa,sequences/prot-0071.fa,71.0,-4,-2
sequences/prot-0035.fa,sequences/prot-0071.fa,57.0,-4,-4
sequences/prot-0035.fa,sequences/prot-0071.fa,62.0,-4,-3
sequences/prot-0035.fa,sequences/prot-0071.fa,55.0,-4,-5
sequences/prot-0035.fa,sequences/prot-0071.fa,69.0,-5,-1
sequences/prot-0035.fa,sequences/prot-0071.fa,57.0,-5,-2
sequences/prot-0035.fa,sequences/prot-0071.fa,49.0,-5,-3
sequences/prot-0035.fa,sequences/prot-0071.fa,45.0,-5,-4
sequences/prot-0035.fa,sequences/prot-0071.fa,56.0,-6,-1
sequences/prot-0035.fa,sequences/prot-0071.fa,44.0,-5,-5
sequences/prot-0035.fa,sequences/prot-0071.fa,46.0,-6,-2
sequences/prot-0035.fa,sequences/prot-0071.fa,37.0,-6,-4
sequences/prot-0035.fa,sequences/prot-0071.fa,39.0,-6,-3
sequences/prot-0035.fa,sequences/prot-0071.fa,36.0,-6,-5
sequences/prot-0035.fa,sequences/prot-0071.fa,45.0,-7,-1
sequences/prot-0035.fa,sequences/prot-0071.fa,37.0,-7,-2
sequences/prot-0035.fa,sequences/prot-0071.fa,32.0,-7,-3
sequences/prot-0035.fa,sequences/prot-0071.fa,32.0,-7,-4
sequences/prot-0035.fa,sequences/prot-0071.fa,32.0,-7,-5
sequences/prot-0035.fa,sequences/prot-0071.fa,36.0,-8,-1
sequences/prot-0035.fa,sequences/prot-0071.fa,31.0,-8,-2
sequences/prot-0035.fa,sequences/prot-0071.fa,31.0,-8,-3
sequences/prot-0035.fa,sequences/prot-0071.fa,31.0,-8,-4
sequences/prot-0035.fa,sequences/prot-0071.fa,31.0,-8,-5
sequences/prot-0035.fa,sequences/prot-0071.fa,30.0,-9,-1
sequences/prot-0035.fa,sequences/prot-0071.fa,30.0,-9,-2
sequences/prot-0035.fa,sequences/prot-0071.fa,30.0,-9,-3
sequences/prot-0035.fa,sequences/prot-0071.fa,30.0,-9,-4
sequences/prot-0035.fa,sequences/prot-0071.fa,30.0,-9,-5
sequences/prot-0035.fa,sequences/prot-0071.fa,29.0,-10,-1
sequences/prot-0035.fa,sequences/prot-0071.fa,29.0,-10,-2
sequences/prot-0035.fa,sequences/prot-0071.fa,29.0,-10,-3
sequences/prot-0035.fa,sequences/prot-0071.fa,29.0,-10,-4
sequences/prot-0035.fa,sequences/prot-0071.fa,29.0,-10,-5
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-11,-1
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-11,-2
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-11,-3
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-11,-4
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-11,-5
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-12,-1
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-12,-2
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-12,-3
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-12,-4
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-12,-5
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-13,-1
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-13,-2
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-13,-3
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-13,-4
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-13,-5
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-14,-1
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-14,-2
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-14,-3
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-14,-5
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-14,-4
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-15,-1
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-15,-2
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-15,-3
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-15,-4
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-15,-5
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-16,-1
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-16,-2
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-16,-4
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-16,-3
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-16,-5
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-17,-1
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-17,-3
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-17,-2
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-17,-4
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-17,-5
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-18,-1
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-18,-2
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-18,-3
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-18,-4
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-18,-5
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-19,-1
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-19,-2
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-19,-3
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-19,-4
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-19,-5
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-20,-1
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-20,-4
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-20,-3
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-20,-2
sequences/prot-0035.fa,sequences/prot-0071.fa,28.0,-20,-5
sequences/prot-0056.fa,sequences/prot-0826.fa,92.0,-1,-1
sequences/prot-0056.fa,sequences/prot-0826.fa,81.0,-1,-2
sequences/prot-0056.fa,sequences/prot-0826.fa,72.0,-2,-1
sequences/prot-0056.fa,sequences/prot-0826.fa,60.0,-2,-3
sequences/prot-0056.fa,sequences/prot-0826.fa,74.0,-1,-5
sequences/prot-0056.fa,sequences/prot-0826.fa,75.0,-1,-4
sequences/prot-0056.fa,sequences/prot-0826.fa,64.0,-2,-2
sequences/prot-0056.fa,sequences/prot-0826.fa,78.0,-1,-3
sequences/prot-0056.fa,sequences/prot-0826.fa,59.0,-2,-4
sequences/prot-0056.fa,sequences/prot-0826.fa,58.0,-2,-5
sequences/prot-0056.fa,sequences/prot-0826.fa,46.0,-3,-3
sequences/prot-0056.fa,sequences/prot-0826.fa,57.0,-3,-1
sequences/prot-0056.fa,sequences/prot-0826.fa,49.0,-3,-2
sequences/prot-0056.fa,sequences/prot-0826.fa,45.0,-4,-1
sequences/prot-0056.fa,sequences/prot-0826.fa,43.0,-3,-5
sequences/prot-0056.fa,sequences/prot-0826.fa,44.0,-3,-4
sequences/prot-0056.fa,sequences/prot-0826.fa,39.0,-4,-2
sequences/prot-0056.fa,sequences/prot-0826.fa,38.0,-4,-3
sequences/prot-0056.fa,sequences/prot-0826.fa,37.0,-4,-4
sequences/prot-0056.fa,sequences/prot-0826.fa,36.0,-4,-5
sequences/prot-0056.fa,sequences/prot-0826.fa,32.0,-5,-2
sequences/prot-0056.fa,sequences/prot-0826.fa,39.0,-5,-1
sequences/prot-0056.fa,sequences/prot-0826.fa,32.0,-5,-3
sequences/prot-0056.fa,sequences/prot-0826.fa,32.0,-5,-4
sequences/prot-0056.fa,sequences/prot-0826.fa,32.0,-5,-5
sequences/prot-0056.fa,sequences/prot-0826.fa,34.0,-6,-1
sequences/prot-0056.fa,sequences/prot-0826.fa,29.0,-6,-2
sequences/prot-0056.fa,sequences/prot-0826.fa,29.0,-6,-3
sequences/prot-0056.fa,sequences/prot-0826.fa,29.0,-6,-4
sequences/prot-0056.fa,sequences/prot-0826.fa,31.0,-7,-1
sequences/prot-0056.fa,sequences/prot-0826.fa,29.0,-6,-5
sequences/prot-0056.fa,sequences/prot-0826.fa,27.0,-7,-2
sequences/prot-0056.fa,sequences/prot-0826.fa,27.0,-7,-3
sequences/prot-0056.fa,sequences/prot-0826.fa,27.0,-7,-4
sequences/prot-0056.fa,sequences/prot-0826.fa,27.0,-7,-5
sequences/prot-0056.fa,sequences/prot-0826.fa,28.0,-8,-1
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-8,-2
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-8,-3
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-8,-4
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-8,-5
sequences/prot-0056.fa,sequences/prot-0826.fa,26.0,-9,-1
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-9,-2
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-9,-3
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-9,-4
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-9,-5
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-10,-1
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-10,-2
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-10,-3
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-10,-4
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-10,-5
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-11,-2
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-11,-1
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-11,-3
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-11,-4
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-11,-5
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-12,-1
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-12,-2
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-12,-3
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-12,-4
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-12,-5
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-13,-1
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-13,-2
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-13,-3
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-13,-4
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-13,-5
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-14,-1
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-14,-2
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-14,-3
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-14,-4
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-14,-5
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-15,-1
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-15,-2
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-15,-3
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-15,-4
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-15,-5
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-16,-2
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-16,-1
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-16,-3
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-16,-4
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-16,-5
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-17,-1
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-17,-3
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-17,-2
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-17,-4
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-17,-5
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-18,-1
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-18,-2
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-18,-3
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-18,-4
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-18,-5
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-19,-1
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-19,-2
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-19,-3
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-19,-4
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-19,-5
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-20,-1
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-20,-2
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-20,-5
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-20,-4
sequences/prot-0056.fa,sequences/prot-0826.fa,25.0,-20,-3
sequences/prot-0075.fa,sequences/prot-0561.fa,295.0,-2,-1
sequences/prot-0075.fa,sequences/prot-0561.fa,362.0,-1,-1
sequences/prot-0075.fa,sequences/prot-0561.fa,295.0,-1,-2
sequences/prot-0075.fa,sequences/prot-0561.fa,229.0,-1,-4
sequences/prot-0075.fa,sequences/prot-0561.fa,220.0,-1,-5
sequences/prot-0075.fa,sequences/prot-0561.fa,190.0,-2,-3
sequences/prot-0075.fa,sequences/prot-0561.fa,255.0,-1,-3
sequences/prot-0075.fa,sequences/prot-0561.fa,221.0,-2,-2
sequences/prot-0075.fa,sequences/prot-0561.fa,168.0,-2,-4
sequences/prot-0075.fa,sequences/prot-0561.fa,141.0,-3,-3
sequences/prot-0075.fa,sequences/prot-0561.fa,163.0,-2,-5
sequences/prot-0075.fa,sequences/prot-0561.fa,233.0,-3,-1
sequences/prot-0075.fa,sequences/prot-0561.fa,126.0,-3,-4
sequences/prot-0075.fa,sequences/prot-0561.fa,171.0,-3,-2
sequences/prot-0075.fa,sequences/prot-0561.fa,118.0,-3,-5
sequences/prot-0075.fa,sequences/prot-0561.fa,173.0,-4,-1
sequences/prot-0075.fa,sequences/prot-0561.fa,127.0,-4,-2
sequences/prot-0075.fa,sequences/prot-0561.fa,106.0,-4,-3
sequences/prot-0075.fa,sequences/prot-0561.fa,133.0,-5,-1
sequences/prot-0075.fa,sequences/prot-0561.fa,90.0,-4,-4
sequences/prot-0075.fa,sequences/prot-0561.fa,85.0,-4,-5
sequences/prot-0075.fa,sequences/prot-0561.fa,95.0,-5,-2
sequences/prot-0075.fa,sequences/prot-0561.fa,76.0,-5,-3
sequences/prot-0075.fa,sequences/prot-0561.fa,68.0,-5,-4
sequences/prot-0075.fa,sequences/prot-0561.fa,62.0,-5,-5
sequences/prot-0075.fa,sequences/prot-0561.fa,105.0,-6,-1
sequences/prot-0075.fa,sequences/prot-0561.fa,63.0,-6,-3
sequences/prot-0075.fa,sequences/prot-0561.fa,72.0,-6,-2
sequences/prot-0075.fa,sequences/prot-0561.fa,54.0,-6,-4
sequences/prot-0075.fa,sequences/prot-0561.fa,71.0,-7,-1
sequences/prot-0075.fa,sequences/prot-0561.fa,49.0,-6,-5
sequences/prot-0075.fa,sequences/prot-0561.fa,60.0,-7,-2
sequences/prot-0075.fa,sequences/prot-0561.fa,51.0,-7,-3
sequences/prot-0075.fa,sequences/prot-0561.fa,45.0,-7,-4
sequences/prot-0075.fa,sequences/prot-0561.fa,58.0,-8,-1
sequences/prot-0075.fa,sequences/prot-0561.fa,45.0,-7,-5
sequences/prot-0075.fa,sequences/prot-0561.fa,41.0,-8,-3
sequences/prot-0075.fa,sequences/prot-0561.fa,41.0,-8,-5
sequences/prot-0075.fa,sequences/prot-0561.fa,48.0,-8,-2
sequences/prot-0075.fa,sequences/prot-0561.fa,41.0,-8,-4
sequences/prot-0075.fa,sequences/prot-0561.fa,46.0,-9,-1
sequences/prot-0075.fa,sequences/prot-0561.fa,39.0,-9,-2
sequences/prot-0075.fa,sequences/prot-0561.fa,39.0,-9,-4
sequences/prot-0075.fa,sequences/prot-0561.fa,39.0,-9,-5
sequences/prot-0075.fa,sequences/prot-0561.fa,39.0,-9,-3
sequences/prot-0075.fa,sequences/prot-0561.fa,39.0,-10,-1
sequences/prot-0075.fa,sequences/prot-0561.fa,37.0,-10,-2
sequences/prot-0075.fa,sequences/prot-0561.fa,37.0,-10,-3
sequences/prot-0075.fa,sequences/prot-0561.fa,37.0,-10,-4
sequences/prot-0075.fa,sequences/prot-0561.fa,37.0,-10,-5
sequences/prot-0075.fa,sequences/prot-0561.fa,35.0,-11,-2
sequences/prot-0075.fa,sequences/prot-0561.fa,36.0,-11,-1
sequences/prot-0075.fa,sequences/prot-0561.fa,35.0,-11,-4
sequences/prot-0075.fa,sequences/prot-0561.fa,35.0,-11,-3
sequences/prot-0075.fa,sequences/prot-0561.fa,35.0,-11,-5
sequences/prot-0075.fa,sequences/prot-0561.fa,34.0,-12,-1
sequences/prot-0075.fa,sequences/prot-0561.fa,33.0,-12,-2
sequences/prot-0075.fa,sequences/prot-0561.fa,33.0,-12,-4
sequences/prot-0075.fa,sequences/prot-0561.fa,32.0,-13,-1
sequences/prot-0075.fa,sequences/prot-0561.fa,33.0,-12,-5
sequences/prot-0075.fa,sequences/prot-0561.fa,33.0,-12,-3
sequences/prot-0075.fa,sequences/prot-0561.fa,32.0,-13,-2
sequences/prot-0075.fa,sequences/prot-0561.fa,32.0,-13,-3
sequences/prot-0075.fa,sequences/prot-0561.fa,32.0,-13,-4
sequences/prot-0075.fa,sequences/prot-0561.fa,32.0,-13,-5
sequences/prot-0075.fa,sequences/prot-0561.fa,32.0,-14,-1
sequences/prot-0075.fa,sequences/prot-0561.fa,32.0,-14,-2
sequences/prot-0075.fa,sequences/prot-0561.fa,32.0,-14,-3
sequences/prot-0075.fa,sequences/prot-0561.fa,32.0,-15,-1
sequences/prot-0075.fa,sequences/prot-0561.fa,32.0,-14,-4
sequences/prot-0075.fa,sequences/prot-0561.fa,32.0,-15,-2
sequences/prot-0075.fa,sequences/prot-0561.fa,32.0,-14,-5
sequences/prot-0075.fa,sequences/prot-0561.fa,32.0,-15,-3
sequences/prot-0075.fa,sequences/prot-0561.fa,32.0,-15,-4
sequences/prot-0075.fa,sequences/prot-0561.fa,32.0,-15,-5
sequences/prot-0075.fa,sequences/prot-0561.fa,32.0,-16,-1
sequences/prot-0075.fa,sequences/prot-0561.fa,32.0,-16,-3
sequences/prot-0075.fa,sequences/prot-0561.fa,32.0,-16,-2
sequences/prot-0075.fa,sequences/prot-0561.fa,32.0,-16,-4
sequences/prot-0075.fa,sequences/prot-0561.fa,32.0,-16,-5
sequences/prot-0075.fa,sequences/prot-0561.fa,32.0,-17,-1
sequences/prot-0075.fa,sequences/prot-0561.fa,32.0,-17,-2
sequences/prot-0075.fa,sequences/prot-0561.fa,32.0,-17,-3
sequences/prot-0075.fa,sequences/prot-0561.fa,32.0,-17,-4
sequences/prot-0075.fa,sequences/prot-0561.fa,32.0,-17,-5
sequences/prot-0075.fa,sequences/prot-0561.fa,32.0,-18,-3
sequences/prot-0075.fa,sequences/prot-0561.fa,32.0,-18,-1
